title,cast,crew,genres,keywords,overview,release_date,runtime,tagline,vote_average,finalcol
The Dark Knight,ChristianBale HeathLedger AaronEckhart MichaelCaine,ChristopherNolan,Drama Action Crime Thriller,dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman,,2008-07-16,152.0,,8.2,christianbale heathledger aaroneckhart michaelcaine christophernolan  drama action crime thriller  dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman
Up,EdAsner ChristopherPlummer JordanNagai BobPeterson,PeteDocter,Animation Comedy Family Adventure,agedifference centralandsouthamerica balloon animation floatingintheair duringcreditsstinger exploring,,2009-05-13,96.0,,7.7,edasner christopherplummer jordannagai bobpeterson petedocter  animation comedy family adventure  agedifference centralandsouthamerica balloon animation floatingintheair duringcreditsstinger exploring
Monsters vs Aliens,SethRogen ReeseWitherspoon HughLaurie PaulRudd,ConradVernon RobLetterman,Animation Family Adventure ScienceFiction,alien giantrobot duringcreditsstinger,,2009-03-19,94.0,,6.0,sethrogen reesewitherspoon hughlaurie paulrudd conradvernon robletterman  animation family adventure sciencefiction  alien giantrobot duringcreditsstinger
Iron Man,RobertDowneyJr. TerrenceHoward JeffBridges ShaunToub,JonFavreau,Action ScienceFiction Adventure,middleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulson,,2008-04-30,126.0,,7.4,robertdowneyjr. terrencehoward jeffbridges shauntoub jonfavreau  action sciencefiction adventure  middleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulson
Hugo,BenKingsley SachaBaronCohen AsaButterfield ChloëGraceMoretz,MartinScorsese,Adventure Drama Family,library clock filmdirector key toy boy love orphan robot automaton hiding filmmaking legbrace doberman 3d,,2011-11-22,126.0,,7.0,benkingsley sachabaroncohen asabutterfield chloëgracemoretz martinscorsese  adventure drama family  library clock filmdirector key toy boy love orphan robot automaton hiding filmmaking legbrace doberman 3d
Wild Wild West,WillSmith KevinKline KennethBranagh SalmaHayek,BarrySonnenfeld,Action Adventure Comedy ScienceFiction Western,steampunk basedontvseries steamlocomotive drag,,1999-06-29,106.0,,5.1,willsmith kevinkline kennethbranagh salmahayek barrysonnenfeld  action adventure comedy sciencefiction western  steampunk basedontvseries steamlocomotive drag
The Mummy: Tomb of the Dragon Emperor,BrendanFraser JetLi JohnHannah MariaBello,RobCohen,Adventure Action Fantasy,,,2008-07-01,112.0,,5.2,brendanfraser jetli johnhannah mariabello robcohen  adventure action fantasy  
Suicide Squad,WillSmith MargotRobbie JoelKinnaman ViolaDavis,DavidAyer,Action Adventure Crime Fantasy ScienceFiction,dccomics shareduniverse antihero secretmission villain superhero supervillain dcextendeduniverse,,2016-08-02,123.0,,5.9,willsmith margotrobbie joelkinnaman violadavis davidayer  action adventure crime fantasy sciencefiction  dccomics shareduniverse antihero secretmission villain superhero supervillain dcextendeduniverse
Evan Almighty,SteveCarell LaurenGraham JohnGoodman JimmyBennett,TomShadyac,Fantasy Comedy Family,fathersonrelationship dailylife marriedcouple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah'sark,,2007-06-09,96.0,,5.3,stevecarell laurengraham johngoodman jimmybennett tomshadyac  fantasy comedy family  fathersonrelationship dailylife marriedcouple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah'sark
Edge of Tomorrow,TomCruise EmilyBlunt BrendanGleeson BillPaxton,DougLiman,Action ScienceFiction,dejavu timewarp restart dystopia war alien militaryofficer soldier alieninvasion exoskeleton,,2014-05-27,113.0,,7.6,tomcruise emilyblunt brendangleeson billpaxton dougliman  action sciencefiction  dejavu timewarp restart dystopia war alien militaryofficer soldier alieninvasion exoskeleton
Waterworld,KevinCostner ChaimGirafi RickAviles R.D.Call,KevinReynolds,Adventure Action,ocean tattoo mutant water dystopia doomsday,,1995-07-28,135.0,,5.9,kevincostner chaimgirafi rickaviles r.d.call kevinreynolds  adventure action  ocean tattoo mutant water dystopia doomsday
G.I. Joe: The Rise of Cobra,DennisQuaid ChanningTatum MarlonWayans SiennaMiller,StephenSommers,Adventure Action Thriller ScienceFiction,terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra,,2009-08-04,118.0,,5.6,dennisquaid channingtatum marlonwayans siennamiller stephensommers  adventure action thriller sciencefiction  terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra
Inside Out,AmyPoehler PhyllisSmith RichardKind BillHader,PeteDocter,Drama Comedy Animation Family,dream cartoon imaginaryfriend animation family moving kids unicorn duringcreditsstinger 3d emotions,,2015-06-09,94.0,,8.0,amypoehler phyllissmith richardkind billhader petedocter  drama comedy animation family  dream cartoon imaginaryfriend animation family moving kids unicorn duringcreditsstinger 3d emotions
The Jungle Book,NeelSethi BillMurray BenKingsley IdrisElba,JonFavreau,Family Adventure Drama Fantasy,basedonnovel snake wolf elephant tiger feralchild panther remake bear jungle talkinganimal orphan animal talkingtoanimals,,2016-04-07,106.0,,6.7,neelsethi billmurray benkingsley idriselba jonfavreau  family adventure drama fantasy  basedonnovel snake wolf elephant tiger feralchild panther remake bear jungle talkinganimal orphan animal talkingtoanimals
Iron Man 2,RobertDowneyJr. GwynethPaltrow DonCheadle ScarlettJohansson,JonFavreau,Adventure Action ScienceFiction,malibu marvelcomic superhero basedoncomicbook revenge aftercreditsstinger marvelcinematicuniverse,,2010-04-28,124.0,,6.6,robertdowneyjr. gwynethpaltrow doncheadle scarlettjohansson jonfavreau  adventure action sciencefiction  malibu marvelcomic superhero basedoncomicbook revenge aftercreditsstinger marvelcinematicuniverse
Snow White and the Huntsman,KristenStewart CharlizeTheron ChrisHemsworth SamClaflin,RupertSanders,Adventure Fantasy Drama,queen magic fairytale immortality forest deception woman eternalyouth snowwhite evilqueen evilstepmother imprisoned sorceress,,2012-05-30,127.0,,5.8,kristenstewart charlizetheron chrishemsworth samclaflin rupertsanders  adventure fantasy drama  queen magic fairytale immortality forest deception woman eternalyouth snowwhite evilqueen evilstepmother imprisoned sorceress
Maleficent,AngelinaJolie ElleFanning SharltoCopley SamRiley,RobertStromberg,Fantasy Adventure Action Family Romance,fairytale villain sleepingbeauty darkfantasy basedonfairytale adaptation retelling literaryadaptation 3d,,2014-05-28,97.0,,7.0,angelinajolie ellefanning sharltocopley samriley robertstromberg  fantasy adventure action family romance  fairytale villain sleepingbeauty darkfantasy basedonfairytale adaptation retelling literaryadaptation 3d
Dawn of the Planet of the Apes,AndySerkis JasonClarke GaryOldman KeriRussell,MattReeves,ScienceFiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack plague 3d,,2014-06-26,130.0,,7.3,andyserkis jasonclarke garyoldman kerirussell mattreeves  sciencefiction action drama thriller  leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack plague 3d
The Lovers,JoshHartnett SimoneKessell TamsinEgerton AliceEnglert,RolandJoffé,Action Adventure ScienceFiction Romance,,,2015-02-13,109.0,,4.8,joshhartnett simonekessell tamsinegerton aliceenglert rolandjoffé  action adventure sciencefiction romance  
47 Ronin,KeanuReeves HiroyukiSanada KouShibasaki TadanobuAsano,CarlRinsch,Drama Action Adventure Fantasy,japan suicide samurai basedontruestory samuraisword ronin shogun halfbreed 3d,,2013-12-06,119.0,,5.9,keanureeves hiroyukisanada koushibasaki tadanobuasano carlrinsch  drama action adventure fantasy  japan suicide samurai basedontruestory samuraisword ronin shogun halfbreed 3d
Captain America: The Winter Soldier,ChrisEvans SamuelL.Jackson ScarlettJohansson RobertRedford,AnthonyRusso JoeRusso,Action Adventure ScienceFiction,washingtond.c. future shield marvelcomic superhero basedoncomicbook captainamerica aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d politicalthriller,,2014-03-20,136.0,,7.6,chrisevans samuell.jackson scarlettjohansson robertredford anthonyrusso joerusso  action adventure sciencefiction  washingtond.c. future shield marvelcomic superhero basedoncomicbook captainamerica aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d politicalthriller
Shrek Forever After,MikeMyers EddieMurphy CameronDiaz AntonioBanderas,MikeMitchell,Comedy Adventure Fantasy Animation Family,ogre 3d,,2010-05-16,93.0,,6.0,mikemyers eddiemurphy camerondiaz antoniobanderas mikemitchell  comedy adventure fantasy animation family  ogre 3d
Tomorrowland,BrittRobertson GeorgeClooney RaffeyCassidy ThomasRobinson,BradBird,Adventure Family Mystery ScienceFiction,inventor apocalypse destiny imax dreamer futuristiccar futuristiccity,,2015-05-19,130.0,,6.2,brittrobertson georgeclooney raffeycassidy thomasrobinson bradbird  adventure family mystery sciencefiction  inventor apocalypse destiny imax dreamer futuristiccar futuristiccity
Big Hero 6,ScottAdsit RyanPotter DanielHenney T.J.Miller,ChrisWilliams DonHall,Adventure Family Animation Action Comedy,brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d teensuperheroes deadbrother,,2014-10-24,102.0,,7.8,scottadsit ryanpotter danielhenney t.j.miller chriswilliams donhall  adventure family animation action comedy  brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d teensuperheroes deadbrother
Wreck-It Ralph,JohnC.Reilly SarahSilverman JackMcBrayer JaneLynch,RichMoore,Family Animation Comedy Adventure,supportgroup productplacement bullying racing arcade medal selfesteem curiosity precociouschild aftercreditsstinger duringcreditsstinger firstpersonshooter glitch carefree videogamer q*bert interruptedwedding socialreject,,2012-11-01,108.0,,7.1,johnc.reilly sarahsilverman jackmcbrayer janelynch richmoore  family animation comedy adventure  supportgroup productplacement bullying racing arcade medal selfesteem curiosity precociouschild aftercreditsstinger duringcreditsstinger firstpersonshooter glitch carefree videogamer q*bert interruptedwedding socialreject
The Polar Express,TomHanks MichaelJeter NonaGaye PeterScolari,RobertZemeckis,Adventure Animation Family Fantasy,santaclaus nerd faith gift bell beard northpole chute trestle ticket christmas,,2004-11-10,100.0,,6.4,tomhanks michaeljeter nonagaye peterscolari robertzemeckis  adventure animation family fantasy  santaclaus nerd faith gift bell beard northpole chute trestle ticket christmas
Independence Day: Resurgence,LiamHemsworth JeffGoldblum BillPullman MaikaMonroe,RolandEmmerich,Action Adventure ScienceFiction,alternatehistory alieninvasion,,2016-06-22,120.0,,4.9,liamhemsworth jeffgoldblum billpullman maikamonroe rolandemmerich  action adventure sciencefiction  alternatehistory alieninvasion
How to Train Your Dragon,JayBaruchel GerardButler CraigFerguson AmericaFerrera,ChrisSanders DeanDeBlois,Fantasy Adventure Animation Family,flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior,,2010-03-05,98.0,,7.5,jaybaruchel gerardbutler craigferguson americaferrera chrissanders deandeblois  fantasy adventure animation family  flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior
Terminator 3: Rise of the Machines,ArnoldSchwarzenegger NickStahl ClaireDanes KristannaLoken,JonathanMostow,Action Thriller ScienceFiction,savingtheworld artificialintelligence manvsmachine cyborg killerrobot sunglasses leatherjacket nanotechnology rocketlauncher firemen veterinarian fireengine dystopia psychiatrist,,2003-07-02,109.0,,5.9,arnoldschwarzenegger nickstahl clairedanes kristannaloken jonathanmostow  action thriller sciencefiction  savingtheworld artificialintelligence manvsmachine cyborg killerrobot sunglasses leatherjacket nanotechnology rocketlauncher firemen veterinarian fireengine dystopia psychiatrist
Guardians of the Galaxy,ChrisPratt ZoeSaldana DaveBautista VinDiesel,JamesGunn,Action ScienceFiction Adventure,marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,,2014-07-30,121.0,,7.9,chrispratt zoesaldana davebautista vindiesel jamesgunn  action sciencefiction adventure  marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse
Interstellar,MatthewMcConaughey JessicaChastain AnneHathaway MichaelCaine,ChristopherNolan,Adventure Drama ScienceFiction,savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime quantummechanics spaceship space rescue familyrelationships farmhouse robot astronaut scientist fatherdaughterrelationship singlefather farmer spacestation imax astrophysics zerogravity courage timeparadox relativity,,2014-11-05,169.0,,8.1,matthewmcconaughey jessicachastain annehathaway michaelcaine christophernolan  adventure drama sciencefiction  savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime quantummechanics spaceship space rescue familyrelationships farmhouse robot astronaut scientist fatherdaughterrelationship singlefather farmer spacestation imax astrophysics zerogravity courage timeparadox relativity
Inception,LeonardoDiCaprio JosephGordon-Levitt EllenPage TomHardy,ChristopherNolan,Action Thriller ScienceFiction Mystery Adventure,lossoflover dream kidnapping sleep subconsciousness heist redemption femalehero,,2010-07-14,148.0,,8.1,leonardodicaprio josephgordon-levitt ellenpage tomhardy christophernolan  action thriller sciencefiction mystery adventure  lossoflover dream kidnapping sleep subconsciousness heist redemption femalehero
Shin Godzilla,HirokiHasegawa YutakaTakenouchi SatomiIshihara KengoKora,HideakiAnno ShinjiHiguchi,Action Adventure Drama Horror ScienceFiction,monster godzilla giantmonster destruction kaiju toyko,,2016-07-29,120.0,,6.5,hirokihasegawa yutakatakenouchi satomiishihara kengokora hideakianno shinjihiguchi  action adventure drama horror sciencefiction  monster godzilla giantmonster destruction kaiju toyko
The Hobbit: An Unexpected Journey,IanMcKellen MartinFreeman RichardArmitage AndySerkis,PeterJackson,Adventure Fantasy Action,riddle elves dwarves orcs middle-earth(tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel undergroundlake buriedtreasure climbingatree invisibility ancient gnomes,,2012-11-26,169.0,,7.0,ianmckellen martinfreeman richardarmitage andyserkis peterjackson  adventure fantasy action  riddle elves dwarves orcs middle-earth(tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel undergroundlake buriedtreasure climbingatree invisibility ancient gnomes
